"0001048791","The Crucible: Performed by Stuart Pankin, Jerome Dempsey &amp; Cast","http://ecx.images-amazon.com/images/I/51MKP0T4DBL.jpg",25
"0001048775","Measure for Measure: Complete &amp; Unabridged","http://ecx.images-amazon.com/images/I/5166EBHDQYL.jpg",17
"0001048236","The Sherlock Holmes Audio Collection","http://ecx.images-amazon.com/images/I/51DH145C5JL.jpg",7
"0000401048","The rogue of publishers' row;: Confessions of a publisher (A Banner Book)","http://ecx.images-amazon.com/images/I/41bchvIfgaL.jpg",82
"0001019880","Classic Soul Winner's New Testament Bible","http://ecx.images-amazon.com/images/I/61LcHUdvS1L.jpg",69
"0001048813","Archer Christmas 4 Tape Pack","http://ecx.images-amazon.com/images/I/41k5u0lr6NL.jpg",65
"0001148427","Sonatas - For Piano","http://ecx.images-amazon.com/images/I/41tN4KuOXkL.jpg",60
"0001057170","Classic Connolly Boxed Set (Vol 1 &amp; 2)","http://ecx.images-amazon.com/images/I/51M65KR89XL.jpg",16
"0001047566","Hand in Glove","http://ecx.images-amazon.com/images/I/51FWARNTHCL.jpg",1
"0001053396","War Poems: An Anthology of Poetry from the 18th Cantury to the Present Day","http://ecx.images-amazon.com/images/I/51WTKK4V2DL.jpg",55
"0000913154","The Way Things Work: An Illustrated Encyclopedia of Technology","http://ecx.images-amazon.com/images/I/7113akhDnTL.jpg",67
"0001072986","As You Like it: Complete &amp; Unabridged","http://ecx.images-amazon.com/images/I/51X8Z6CJ10L.jpg",84
"0001053744","Pearl and Sir Orfeo","http://ecx.images-amazon.com/images/I/712C-G3XiTL.jpg",39
"0001055178","Master Georgie","http://ecx.images-amazon.com/images/I/51ZSC6TKS3L.jpg",95
"0001064487","Celebremos Su Gloria","http://ecx.images-amazon.com/images/I/41bI6DhG7SL.jpg",91
"0001042335","Hamlet: Complete &amp; Unabridged","http://ecx.images-amazon.com/images/I/51ZSAPAXN4L.jpg",88
"0000202010","The Laurel &amp; Hardy Book (The Curtis Film Series)","http://ecx.images-amazon.com/images/I/516Xv4rbRoL.jpg",69
"0001057138","Classic Connolly in Words and Music (HarperCollinsComedy)","http://ecx.images-amazon.com/images/I/41K9BHNH7CL.jpg",58
"000136118X","One, Two, Guess Who?","http://ecx.images-amazon.com/images/I/51HK6S3HJNL.jpg",69
"0000000868","Foot Rot of Piper nigrum. L. (Phytopathological Paper)","http://ecx.images-amazon.com/images/I/41K1RtF0J0L.jpg",65
"0001053655","Who on Earth is Tom Baker?","http://ecx.images-amazon.com/images/I/41C0C3DKRWL.jpg",62
"0001360000","Mog's Kittens","http://ecx.images-amazon.com/images/I/514Y3NCWBTL.jpg",84
"0000038504","Double-Speak: From Revenue Enhancement to Terminal Living--How Government, Business, Advertisers and Others Use Language to Deceive You","http://ecx.images-amazon.com/images/I/51x9TcnJXiL._SL500_.jpg",40
"0001203088","Hilda Boswell's Omnibus - A Treasury of Favorites","http://ecx.images-amazon.com/images/I/41oE0tqP3zL.jpg",20
"0001061100","Chess for Children","http://ecx.images-amazon.com/images/I/61Y8fD-3reL.jpg",23
"0001018043","The Enchanted Horse","",42
"0000477141","MKSAP 15 Audio Companion","http://ecx.images-amazon.com/images/I/51ky-L29jTL.jpg",29
"0001437879","Great Hymns of the Faith: King James Responsive Readings","http://ecx.images-amazon.com/images/I/51PA8hajWWL._SL500_.jpg",94
"0001035649","Under Milk Wood: Dylan Thomas &amp; the Original Cast","http://ecx.images-amazon.com/images/I/51P6XDFRVKL.jpg",71
"0001381245","Misty of Chincoteague","http://ecx.images-amazon.com/images/I/A1%2B%2BKHnzuVL.jpg",96
"000102521X","The Fatal Strand (Tales from the Wyrd Museum)","http://ecx.images-amazon.com/images/I/516TRJBF9XL.jpg",26
"0001371045","Hilda Boswell's treasury of children's stories: A new anthology of stories for the young","http://ecx.images-amazon.com/images/I/81VxVmFrJaL.jpg",90
"0001468685","Suddenly One Was Taken!","http://ecx.images-amazon.com/images/I/71eeMmDZhTL.jpg",89
